,1,2,3,4,5,6,7,8
count,2259.0,2259.0,2259.0,2259.0,2259.0,2259.0,2259.0,2259.0
mean,1185.6683499075343,6307.040386824083,3952.2720354859134,5106.022366426331,7576.984494439097,5241.213991399887,85051.52856067204,90554.8030024238
std,754.4776577632351,1942.4374678204051,1829.923852407354,2068.865550530921,4756.7437269504,1364.8568708716996,19335.985725952778,19064.641744860353
min,552.9605150758289,3658.546621156999,2121.7157625678237,2062.4655434931124,2556.074924606752,3151.5276616720203,54438.52024009595,67786.33256057637
25%,708.3724611755994,5357.981322641372,2888.6971101282975,3846.9104047112587,5040.520793540476,4474.144412923567,74703.827703725,78785.16573181911
50%,877.0797780012799,5949.881785910545,3405.568020857248,4540.43814075553,6171.284822364338,4890.262491693437,80127.3480608072,85241.04970345028
75%,1447.857964833769,6741.990601263028,4279.693703702994,5699.8836738934515,8249.429697000189,5550.08945170032,89519.1684609508,96018.61387926078
max,8809.303985534858,32376.10372990548,22906.512063529044,26031.361399302754,70068.5893784836,23673.83509568974,318308.3973673649,299547.83624507335
